phase,model,accuracy,precision,recall,f1,auc
Phase 1,Isolation Forest,0.8478087295954577,0.8247892773248584,0.9302579287773708,0.8743545611015491,0.93994469868276
Phase 1,Z-Score Thresholding,0.8526880766501065,0.8866666666666667,0.8498402555910544,0.867862969004894,0.8993010646987265
Phase 2,One-Class SVM,0.8159155429382541,0.9377836039124736,0.7246941478999455,0.8175824175824176,0.9039853736677343
Phase 2,VAE (beta=0.5),0.5822391767210788,0.5767381241292526,1.0,0.7315585452057918,0.9406755290226836
Phase 2,Autoencoder (Skip),0.5817955997161107,0.5764790440681011,1.0,0.7313500883341881,0.9320286298173692
Phase 3,6. XGBoost (raw + residuals),0.8213715400993612,0.9677076694285108,0.7098885685342476,0.8189868296849013,0.9655419316364976
Phase 3,7. Model C (raw + z + residuals),0.8203069552874379,0.9667304421768708,0.7087197070053768,0.8178589092217077,0.9638968271409672
Phase 3,2. Isolation Forest (raw),0.8108144073811213,0.9274595889044104,0.7243045273903218,0.8133887551957996,0.9374702533708072
Phase 3,5. XGBoost (raw + latent z),0.8117015613910575,0.9662323561346364,0.6934465830281306,0.8074218572789548,0.9631373299434464
Phase 3,4. XGBoost (raw only),0.8101490418736693,0.9677348791425134,0.6894724538299696,0.805242082271569,0.9596419111881412
Phase 3,3. Deep IF (Model A),0.7583392476933996,0.9257465698143664,0.6256526143536196,0.7466753464149539,0.9270228107060672
Phase 3,1. AE only,0.5812189496096523,0.5761425877704948,1.0,0.7310792719400689,0.9544571298398736
Phase 3,8. Model C + AE gate (cascade),0.5812189496096523,0.5761425877704948,1.0,0.7310792719400689,0.9638968271409672
